"countrycode","year","cluster","requirements","funding","percentfunded"
"BFA","2023","Sécurité alimentaire","322204271","117323209","36"
"BFA","2022","Abris/AME","58649172","13524791","23"
"BFA","2022","Coordination","13022110","10164787","78"
"BFA","2022","Eau, Hygiène et Assainissement","104224136","42721926","41"
"BFA","2022","Education","54102384","8334283","15"
"BFA","2022","Gestion des Sites d’Accueil Temporaires","6900000","1225089","18"
"BFA","2022","Logistique","3137036","4074695","130"
"BFA","2022","Nutrition","52500000","31658702","60"
"BFA","2022","Protection","109701507","22454155","20"
"BFA","2022","Réponse aux Réfugiés","39521084","21271486","54"
"BFA","2022","Santé","31436768","23920332","76"
"BFA","2022","Sécurité alimentaire","331905501","150392216","45"
"BFA","2021","Abris/AME","57258760","10881867","19"
"BFA","2021","Coordination","8900663","13273103","149"
"BFA","2021","Eau, Hygiène et Assainissement","70982607","15762337","22"
"BFA","2021","Education","47316563","5937572","13"
"BFA","2021","Gestion des Sites d’Accueil Temporaires","9035493","573246","6"
"BFA","2021","Logistique","2300000","1506588","66"
"BFA","2021","Nutrition","46441612","22743837","49"
"BFA","2021","Protection","52020271","15550622","30"
"BFA","2021","Réponse aux Réfugiés","21430719","1710061","8"
"BFA","2021","Santé","41227795","19789404","48"
"BFA","2021","Sécurité alimentaire","250961411","84374125","34"
"BFA","2020","Abris/AME","30271041","8363490","28"
"BFA","2020","Abris/AME COVID-19","3995056","54289","1"
"BFA","2020","Coordination","7871721","7868451","100"
"BFA","2020","Coordination COVID-19","250000","82468","33"
"BFA","2020","Eau, Hygiène et Assainissement","42686657","6327537","15"
"BFA","2020","Eau, Hygiène et Assainissement COVID-19","17805832","1509743","8"
"BFA","2020","Education","29179005","12653150","43"
"BFA","2020","Education COVID-19","4080000","1999242","49"
"BFA","2020","Nutrition","26136964","10580477","40"
"BFA","2020","Nutrition COVID-19","2000000","199000","10"
"BFA","2020","Protection","18549990","8889834","48"
"BFA","2020","Protection COVID-19","7813223","911145","12"
"BFA","2020","Réfugiés","15000000","680029","5"
"BFA","2020","Santé","23636634","11932411","50"
"BFA","2020","Santé COVID-19","17139304","16262897","95"
"BFA","2020","Sécurité Alimentaire","125095363","67447331","54"
"BFA","2020","Sécurité Alimentaire COVID-19","52847071","8352039","16"
"BFA","2019","CONSÉQUENCES DE L’INSÉCURITÉ","66854813","16318376","24"
"BFA","2019","COORDINATION DES URGENCES","2360000","2344473","99"
"BFA","2019","Nutrition","31394188","16463641","52"
"BFA","2019","Réfugiés","14100000","9265854","66"
"BFA","2019","SÉCURITÉ ALIMENTAIRE","70856133","28176680","40"
"BFA","2018","Nutrition","30327692","9884519","33"
"BFA","2018","PDI","10700300","643498","6"
"BFA","2018","Préparation à la réponse aux catastrophes","7520000","2469136","33"
"BFA","2018","Réfugiés","18000000","4548269","25"
"BFA","2018","Sécurité alimentaire","23743118","29815262","126"
"BFA","2017","Food Security","11578000","8007544","69"
"BFA","2017","Nutrition","30412000","20753792","68"
"BFA","2016","FOOD SECURITY","23067400","7800388","34"
"BFA","2016","HEALTH","3253866","192577","6"
"BFA","2016","MULTI-SECTOR FOR REFUGEES","31200230","8781943","28"
"BFA","2016","NUTRITION","28352544","26964078","95"
"BFA","2016","WATER AND SANITATION","3552853","780379","22"
"BFA","2015","EARLY RECOVERY","2388452","38012","2"
"BFA","2015","FOOD SECURITY","21735128","8723418","40"
"BFA","2015","HEALTH","5047213","1534804","30"
"BFA","2015","MULTI-SECTOR FOR REFUGEES","21460074","4180338","19"
"BFA","2015","NUTRITION","36235699","18881221","52"
"BFA","2014","FOOD SECURITY","22325743","2038061","9"
"BFA","2014","HEALTH","4350514","450000","10"
"BFA","2014","MULTI-SECTOR FOR REFUGEES","27010967","11031236","41"
"BFA","2014","NUTRITION","33905484","21976247","65"
"BFA","2013","AGRICULTURE","15985266","10290773","64"
"BFA","2013","CHILD PROTECTION","3162251","2283833","72"
"BFA","2013","EDUCATION","1443430","2141284","148"
"BFA","2013","FOOD ASSISTANCE","14173326","9763237","69"
